event_id,dataset_source,source_file,event_type,lane_id,event_onset_s,window_start_s,window_end_s,event_duration_s,split
10,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,4,1113437235.7,1113437225.7,1113437235.7,11.200000047683716,holdout
11,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113436840.7,1113436830.7,1113436840.7,15.299999952316284,holdout
12,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113437345.6,1113437335.6,1113437345.6,13.300000190734863,holdout
13,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113437378.2,1113437368.2,1113437378.2,15.099999904632568,holdout
14,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,5,1113437526.1,1113437516.1,1113437526.1,6.0,holdout
15,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113436920.7,1113436910.7,1113436920.7,19.399999856948853,holdout
16,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113436953.0,1113436943.0,1113436953.0,42.20000004768372,holdout
17,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113437087.1,1113437077.1,1113437087.1,32.30000019073486,holdout
18,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113437157.6,1113437147.6,1113437157.6,30.600000143051147,holdout
19,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113437326.9,1113437316.9,1113437326.9,31.699999809265137,holdout
20,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113437491.6,1113437481.6,1113437491.6,6.400000095367432,holdout
21,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,2,1113437508.6,1113437498.6,1113437508.6,16.90000009536743,holdout
22,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,3,1113437461.3,1113437451.3,1113437461.3,6.299999952316284,holdout
23,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,6,1113436898.7,1113436888.7,1113436898.7,23.899999856948853,holdout
24,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,6,1113437041.9,1113437031.9,1113437041.9,21.5,holdout
25,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,6,1113437136.1,1113437126.1,1113437136.1,12.900000095367432,holdout
26,ngsim_i-80_0500pm-0515pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0500pm-0515pm\trajectories-0500-0515.csv,queue,7,1113437083.9,1113437073.9,1113437083.9,18.299999952316284,holdout
27,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,3,1113437711.4,1113437701.4,1113437711.4,16.199999809265137,holdout
28,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,4,1113437589.6,1113437579.6,1113437589.6,19.5,holdout
29,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,4,1113437790.2,1113437780.2,1113437790.2,23.09999990463257,holdout
30,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,5,1113437679.4,1113437669.4,1113437679.4,24.0,holdout
31,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,5,1113437913.4,1113437903.4,1113437913.4,9.699999809265137,holdout
32,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,6,1113437772.4,1113437762.4,1113437772.4,28.199999809265137,holdout
33,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,6,1113437935.0,1113437925.0,1113437935.0,25.70000004768372,holdout
34,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,7,1113437646.6,1113437636.6,1113437646.6,20.20000004768372,holdout
35,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,7,1113437697.6,1113437687.6,1113437697.6,9.600000143051147,holdout
36,ngsim_i-80_0515pm-0530pm,data\raw\ngsim\I-80\vehicle-trajectory-data\0515pm-0530pm\trajectories-0515-0530.csv,queue,2,1113438066.6,1113438056.6,1113438066.6,19.20000004768372,holdout
37,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,1,1118847110.8,1118847100.8,1118847110.8,14.5,train
38,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,1,1118847233.2,1118847223.2,1118847233.2,19.5,train
39,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,1,1118847359.5,1118847349.5,1118847359.5,20.799999952316284,train
40,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,1,1118847494.9,1118847484.9,1118847494.9,9.199999809265137,train
41,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,1,1118847572.8,1118847562.8,1118847572.8,35.5,train
42,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,1,1118847689.3,1118847679.3,1118847689.3,54.5,train
43,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,1,1118847749.3,1118847739.3,1118847749.3,28.40000009536743,train
44,ngsim_us-101_0750am-0805am,data\raw\ngsim\US-101\vehicle-trajectory-data\0750am-0805am\trajectories-0750am-0805am.csv,queue,5,1118847765.5,1118847755.5,1118847765.5,24.299999952316284,train
45,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,1,1118847856.9,1118847846.9,1118847856.9,12.599999904632568,train
46,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,1,1118848130.3,1118848120.3,1118848130.3,13.400000095367432,train
47,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,1,1118848193.3,1118848183.3,1118848193.3,89.79999995231628,train
48,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,1,1118848463.0,1118848453.0,1118848463.0,17.700000047683716,train
49,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,1,1118848564.2,1118848554.2,1118848564.2,10.599999904632568,train
50,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,2,1118848052.3,1118848042.3,1118848052.3,17.90000009536743,train
51,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,3,1118848092.4,1118848082.4,1118848092.4,7.5,train
52,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,3,1118848110.0,1118848100.0,1118848110.0,19.70000004768372,train
53,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,3,1118848238.7,1118848228.7,1118848238.7,25.799999952316284,train
54,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,5,1118848131.4,1118848121.4,1118848131.4,31.899999856948853,train
55,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,5,1118848199.3,1118848189.3,1118848199.3,19.100000143051147,train
56,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,5,1118848238.4,1118848228.4,1118848238.4,12.399999856948853,train
57,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,4,1118848176.5,1118848166.5,1118848176.5,24.299999952316284,train
58,ngsim_us-101_0805am-0820am,data\raw\ngsim\US-101\vehicle-trajectory-data\0805am-0820am\trajectories-0805am-0820am.csv,queue,4,1118848237.5,1118848227.5,1118848237.5,12.400000095367432,train
59,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,4,1118849084.1,1118849074.1,1118849084.1,13.600000143051147,train
60,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,4,1118849287.9,1118849277.9,1118849287.9,12.399999856948853,train
61,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,4,1118849426.8,1118849416.8,1118849426.8,8.400000095367432,train
62,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,1,1118848891.7,1118848881.7,1118848891.7,18.20000004768372,train
63,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,1,1118848973.5,1118848963.5,1118848973.5,19.90000009536743,train
64,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,1,1118849106.9,1118849096.9,1118849106.9,37.89999985694885,train
65,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,1,1118849194.7,1118849184.7,1118849194.7,27.299999952316284,train
66,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,2,1118849277.8,1118849267.8,1118849277.8,30.40000009536743,train
67,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,2,1118849358.5,1118849348.5,1118849358.5,13.299999952316284,train
68,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,2,1118849433.7,1118849423.7,1118849433.7,11.899999856948853,train
69,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,3,1118848967.0,1118848957.0,1118848967.0,11.900000095367432,train
70,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,3,1118849130.3,1118849120.3,1118849130.3,19.5,train
71,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,3,1118849165.4,1118849155.4,1118849165.4,7.599999904632568,train
72,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,3,1118849281.5,1118849271.5,1118849281.5,13.299999952316284,train
73,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,3,1118849396.3,1118849386.3,1118849396.3,41.79999995231629,train
74,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,5,1118848917.2,1118848907.2,1118848917.2,9.399999856948853,train
75,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,5,1118848978.7,1118848968.7,1118848978.7,19.399999856948853,train
76,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,5,1118849373.7,1118849363.7,1118849373.7,13.5,train
77,ngsim_us-101_0820am-0835am,data\raw\ngsim\US-101\vehicle-trajectory-data\0820am-0835am\trajectories-0820am-0835am.csv,queue,5,1118849401.6,1118849391.6,1118849401.6,12.600000143051147,train
78,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,10,55.288575,45.288575,55.288575,14.581235,train
79,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,10,359.258952,349.258952,359.258952,26.82680399999998,train
80,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,10,621.721191,611.721191,621.721191,10.610600999999974,train
81,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,2.5025,-7.4975,2.5025,20.086737,train
82,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,160.99419,150.99419,160.99419,48.21484100000001,train
83,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,327.026748,317.026748,327.026748,11.11110100000002,train
84,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,376.642988,366.642988,376.642988,30.897538,train
85,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,422.155128,412.155128,422.155128,10.010001999999986,train
86,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,443.776732,433.776732,443.776732,20.15346900000003,train
87,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,585.084585,575.084585,585.084585,35.935906000000045,train
88,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,775.174513,765.174513,775.174513,43.51013999999998,train
89,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,4,826.158787,816.158787,826.158787,10.543869000000086,train
90,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,5,37.837806,27.837806,37.837806,68.301576,train
91,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,5,119.452684,109.452684,119.452684,19.753070000000008,train
92,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,5,522.655543,512.655543,522.655543,112.47905000000004,train
93,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,3,81.748345,71.748345,81.748345,27.794438,train
94,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,21,150.717255,140.717255,150.717255,9.80980200000002,train
95,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,queue,6,645.811928,635.811928,645.811928,46.41304000000002,train
96,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,33.666972,23.666972,33.666972,1.2012,train
97,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,6,48.982274,38.982274,48.982274,0.5005000000000024,train
98,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,46.880174,36.880174,46.880174,0.8341660000000033,train
99,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,47.547507,37.547507,47.547507,0.6673329999999993,train
100,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,39.272572,29.272572,39.272572,1.6016010000000025,train
101,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,40.807439,30.807439,40.807439,0.734066999999996,train
102,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,48.581874,38.581874,48.581874,0.467133000000004,train
103,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,35.168472,25.168472,35.168472,0.8675330000000017,train
104,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,39.506139,29.506139,39.506139,0.8675339999999991,train
105,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,45.745707,35.745707,45.745707,0.6339659999999938,train
106,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,45.71234,35.71234,45.71234,0.5005000000000024,train
107,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,42.776073,32.776073,42.776073,0.767433000000004,train
108,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,6,32.198838,22.198838,32.198838,0.9342669999999984,train
109,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,79.712978,69.712978,79.712978,0.6339669999999984,train
110,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,42.742706,32.742706,42.742706,1.1344670000000008,train
111,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,5,73.673611,63.673611,73.673611,0.5005000000000024,train
112,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,6,42.375673,32.375673,42.375673,0.767433000000004,train
113,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,18.685336,8.685336,18.685336,0.5672330000000017,train
114,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,83.817079,73.817079,83.817079,0.7006999999999977,train
115,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,47.247207,37.247207,47.247207,0.6339669999999984,train
116,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,35.702339,25.702339,35.702339,0.5004999999999953,train
117,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,18.885536,8.885535999999998,18.885536,0.9676340000000004,train
118,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,91.091013,81.091013,91.091013,0.6006,train
119,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,27.861171,17.861171,27.861171,1.4014000000000024,train
120,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,24.090737,14.090737,24.090737,0.6006,train
121,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,19.85317,9.85317,19.85317,1.1344659999999998,train
122,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,25.55887,15.55887,25.55887,0.8008009999999999,train
123,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,28.661971,18.661971,28.661971,0.8675329999999981,train
124,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,30.797438,20.797438,30.797438,0.9009,train
125,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,24.324304,14.324304,24.324304,0.8675329999999981,train
126,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,27.594237,17.594237,27.594237,0.6006,train
127,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,32.665971,22.665971,32.665971,0.5338670000000008,train
128,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,6,64.497776,54.497776,64.497776,0.5005000000000024,train
129,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,7,53.086374,43.086374,53.086374,0.7340670000000031,train
130,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,26.726704,16.726704,26.726704,0.5338669999999972,train
131,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,28.161471,18.161471,28.161471,0.7007000000000012,train
132,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,94.12738,84.12738,94.12738,0.734066999999996,train
133,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,28.261571,18.261571,28.261571,0.7674330000000005,train
134,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,11.444768,1.4447679999999998,11.444768,0.7340669999999996,train
135,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,5,76.743345,66.743345,76.743345,0.6006,train
136,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,29.295938,19.295938,29.295938,1.034366000000002,train
137,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,6,58.525142,48.525142,58.525142,1.4681329999999946,train
138,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,17.751069,7.751069000000001,17.751069,0.767433999999998,train
139,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,14.347669,4.347669,14.347669,0.6673330000000011,train
140,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,3.169834,-6.830166,3.169834,0.8341669999999999,train
141,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,6.673334,-3.3266660000000003,6.673334,0.8341670000000008,train
142,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,12.045368,2.045368,12.045368,0.9676340000000004,train
143,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,15.081736,5.081735999999999,15.081736,1.4347659999999998,train
144,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,5.638967,-4.361033,5.638967,1.2012010000000002,train
145,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,54.654608,44.654608,54.654608,0.9009,train
146,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,6.673334,-3.3266660000000003,6.673334,0.6673340000000003,train
147,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,8.341668,-1.6583319999999997,8.341668,0.834166999999999,train
148,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,5.071734,-4.928266,5.071734,0.9342670000000002,train
149,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,21.621603,11.621603,21.621603,0.7340669999999996,train
150,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,1,8.408401,-1.5915990000000004,8.408401,1.2679340000000003,train
151,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,13.446769,3.446769,13.446769,0.7340660000000003,train
152,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,10.010001,0.0100010000000008,10.010001,0.6673339999999985,train
153,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,7,48.882174,38.882174,48.882174,0.767433000000004,train
154,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,7,50.016641,40.016641,50.016641,0.8008000000000024,train
155,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,4,27.961271,17.961271,27.961271,1.7350670000000008,train
156,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,5,8.308301,-1.6916989999999998,8.308301,0.8008000000000006,train
157,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,64.030643,54.030643,64.030643,1.2012,train
158,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,2,62.562509,52.562509,62.562509,0.8341670000000008,train
159,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,3,61.027642,51.027642,61.027642,0.8675339999999991,train
160,mitra_t4,data\raw\mitra\Data_T4\T4_DAll.csv,hard_brake,7,4.070734,-5.929266,4.070734,0.8675329999999999,train
